Language,Speakers,Year
Chinese Mandarin,"472,000,000",1900
Spanish,"315,000,000",1900
English,"270,000,000",1900
Hindi,"234,000,000",1900
Russian,"112,000,000",1900
French,"102,000,000",1900
Bangali,"99,000,000",1900
Japanese,"61,000,000",1900
Chinese Wu,"61,000,000",1900
German,"56,000,000",1900
Chinese Mandarin,"524,000,00",1910
Spanish,"337,000,000",1910
English,"335,000,000",1910
Hindi,"265,000,000",1910
Russian,"124,000,000",1910
French,"117,000,000",1910
Bangali,"113,000,000",1910
Japanese,"66,000,000",1910
Chinese Wu,"62,000,000",1910
German,"59,000,000",1910
Chinese Mandarin,"571,000,000",1920
English,"394,000,000",1920
Spanish,"348,000,000",1920
Hindi,"292,000,000",1920
Russian,"134,000,000",1920
French,"130,000,000",1920
Bangali,"125,000,000",1920
Japanese,"71,000,000",1920
Arabic,"71,000,000",1920
Chinese Mandarin,"629,000,000",1930
English,"480,000,000",1930
Spanish,"368,000,000",1930
Hindi,"327,000,000",1930
Russian,"147,000,000",1930
French,"146,000,000",1930
Bangali,"140,000,000",1930
Arabic,"96,000,000",1930
Portuguese,"83,000,000",1930
Japanese,"78,000,000",1930
Chinese Mandarin,"690,000,000",1940
English,"562,000,000",1940
Spanish,"389,000,000",1940
Hindi,"363,000,000",1940
French,"162,000,000",1940
Russian,"161,000,000",1940
Bangali,"155,000,000",1940
Arabic,"117,000,000",1940
Portuguese,"102,000,000",1940
Japanese,"84,000,000",1940
Chinese Mandarin,"743,000,000",1950
English,"633,000,000",1950
Spanish,"407,000,000",1950
Hindi,"395,000,000",1950
French,"176,000,000",1950
Russian,"172,000,000",1950
Bangali,"168,000,000",1950
Arabic,"135,000,000",1950
Portuguese,"117,000,000",1950
Indonesian,"97,000,000",1950
Chinese Mandarin,"791,000,000",1960
English,"697,000,000",1960
Spanish,"424,000,00",1960
Hindi,"423,000,000",1960
French,"188,000,000",1960
Russian,"184,000,000",1960
Bangali,"181,000,000",1960
Arabic,"154,000,000",1960
Portuguese,"133,000,00",1960
Indonesian,"110,000,00",1960
Chinese Mandarin,"842,000,000",1970
English,"765,000,000",1970
Hindi,"453,000,000",1970
Spanish,"441,000,000",1970
French,"202,000,000",1970
Russian,"196,000,000",1970
Bangali,"195,000,000",1970
Arabic,"173,000,000",1970
Portuguese,"148,000,000",1970
Indonesian,"125,000,000",1970
Chinese Mandarin,"896,000,000",1980
English,"838,000,000",1980
Hindi,"485,000,000",1980
Spanish,"459,000,000",1980
French,"218,000,000",1980
Bangali,"209,000,000",1980
Russian,"209,000,000",1980
Arabic,"194,000,000",1980
Portuguese,"165,000,000",1980
Indonesian,,1980
,,1990
,,1990
,,1990
,,1990
,,1990
,,1990
,,1990
,,1990
,,1990
,,1990
,,2000
,,2000
,,2000
,,2000
,,2000
,,2000
,,2000
,,2000
,,2000
,,2000
,,2010
,,2010
,,2010
,,2010
,,2010
,,2010
,,2010
,,2010
,,2010
,,2010
,,2020
,,2020
,,2020
,,2020
,,2020
,,2020
,,2020
,,2020
,,2020
,,2020
